index,wave,country,imp_family,imp_religion,happiness,satisfaction_life,univ_imp_boy_girl,housewife_fulfill_work,marital,num_children,satisfaction_finance,confidence_women_org,respect_human,religious_denom,religious_person,justify_gay,justify_abortion,justify_divorce,employment_status,chief_wage,sex,year_birth,age,edu,edu_age_complete,ethnic,survey_year
83137,2010-2013,United States,Very important,Not very important,Rather happy,8,Agree,Disagree,Married,1 child,7,Quite a lot,Fairly muchrespect,Other;Not specific,An atheist,Always justifiable,Always justifiable,Always justifiable,Part time,Yes,Male,,,"University-level education, with degree",,"US: 2+Races, Non-Hispanic",2011
83138,2010-2013,United States,Very important,Very important,Rather happy,7,Strongly disagree,Agree,Single,No children,7,Not very much,No answer,No answer,A religious person,No answer,No answer,No answer,Part time,No answer,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83139,2010-2013,United States,Very important,Very important,Rather happy,7,Strongly disagree,Agree,Married,No children,5,Not very much,Fairly muchrespect,Other;Not specific,A religious person,Never justifiable,Never justifiable,6,Full time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83140,2010-2013,United States,Very important,Very important,Rather happy,7,Disagree,Agree strongly,Married,1 child,5,Quite a lot,Fairly muchrespect,Roman Catholic,A religious person,3,Never justifiable,5,Retired,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83141,2010-2013,United States,No answer,No answer,No answer,No answer; BH: Refused,No answer,No answer,Married,No answer,No answer; BH: Refused,No answer,No answer,No answer,No answer,No answer,No answer,No answer,No answer;SG: Refused,No answer,Male,,,"University-level education, with degree",No answer,"US: White, Non-Hispanic",2011
83142,2010-2013,United States,Very important,No answer,Very happy,Completely satisfied,Strongly disagree,Agree,Married,2 children,8,Not very much,Fairly muchrespect,Protestant,A religious person,3,3,5,Full time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83143,2010-2013,United States,Very important,Rather important,Very happy,Completely satisfied,Strongly disagree,Agree strongly,Married,2 children,9,Quite a lot,Fairly muchrespect,Protestant,A religious person,7,7,8,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83144,2010-2013,United States,Very important,Not very important,Not very happy,7,Disagree,Disagree,Single,No children,4,Not very much,Fairly muchrespect,None,A religious person,Never justifiable,Never justifiable,Never justifiable,Unemployed,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83145,2010-2013,United States,Very important,Not at all important,Rather happy,8,Disagree,Agree strongly,Divorced,5 children,Completely satisfied,Not very much,Not much respect,None,A religious person,5,5,5,Full time,Yes,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83146,2010-2013,United States,Very important,Very important,Very happy,8,Disagree,Agree,Married,1 child,7,Not very much,Not much respect,Roman Catholic,A religious person,4,2,4,Full time,No,Male,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83147,2010-2013,United States,Very important,Not very important,Very happy,9,Disagree,Disagree,Married,4 children,9,Quite a lot,Fairly muchrespect,Roman Catholic,Not a religious person,7,8,7,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83148,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Disagree,Agree strongly,Widowed,2 children,Completely satisfied,Not very much,Fairly muchrespect,Protestant,A religious person,Never justifiable,Never justifiable,No answer,Retired,Yes,Male,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83149,2010-2013,United States,Very important,Not very important,Rather happy,8,Disagree,Agree,Married,3 children,7,Quite a lot,Fairly muchrespect,Protestant,A religious person,Never justifiable,2,3,Part time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83150,2010-2013,United States,Very important,Very important,Very happy,9,Disagree,Disagree,Married,2 children,9,Not very much,Fairly muchrespect,Roman Catholic,A religious person,5,5,5,Full time,No,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83151,2010-2013,United States,Very important,Not very important,Very happy,8,Disagree,Agree strongly,Married,2 children,7,Not very much,Fairly muchrespect,None,A religious person,7,7,7,Full time,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83152,2010-2013,United States,Very important,Rather important,Very happy,9,Strongly disagree,Agree strongly,Married,No children,8,A great deal,Fairly muchrespect,Roman Catholic,A religious person,8,6,8,Full time,No,Female,,,"Some university-level education, without degree",,"US: 2+Races, Non-Hispanic",2011
83153,2010-2013,United States,Very important,Very important,Not very happy,6,Disagree,Disagree,Single,No children,6,None at all,Not much respect,Muslim,A religious person,5,5,5,Full time,No,Female,,,Complete secondary school: university-preparatory type,,"US: Black, Non-Hispanic",2011
83154,2010-2013,United States,Very important,Rather important,Not very happy,6,Strongly disagree,Disagree,Living together as married,No children,5,Quite a lot,Not much respect,None,A religious person,5,7,8,Students,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83155,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Disagree,Agree strongly,Widowed,3 children,Completely satisfied,Quite a lot,Fairly muchrespect,Protestant,A religious person,Never justifiable,Never justifiable,5,Retired,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83156,2010-2013,United States,Very important,Very important,Very happy,9,Strongly disagree,Agree,Single,No children,8,Quite a lot,Not much respect,Roman Catholic,A religious person,Never justifiable,Never justifiable,5,Unemployed,No,Male,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83157,2010-2013,United States,Very important,Not very important,Not very happy,6,Disagree,Disagree,Married,2 children,6,None at all,Fairly muchrespect,Protestant,Not a religious person,5,2,5,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83158,2010-2013,United States,Very important,Not very important,Rather happy,7,Strongly disagree,Agree,Living together as married,No children,8,Quite a lot,Fairly muchrespect,None,Not a religious person,Always justifiable,8,9,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83159,2010-2013,United States,Very important,Very important,Rather happy,3,Disagree,Agree,Married,2 children,7,Not very much,Fairly muchrespect,Protestant,A religious person,Never justifiable,Never justifiable,4,Full time,Yes,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83160,2010-2013,United States,Very important,Rather important,Rather happy,7,Strongly disagree,Agree,Married,4 children,7,Quite a lot,Not much respect,Roman Catholic,A religious person,8,Never justifiable,6,Retired,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83161,2010-2013,United States,Very important,Very important,Rather happy,7,Disagree,Agree strongly,Married,4 children,3,Not very much,Not much respect,Other;Not specific,A religious person,Never justifiable,Never justifiable,Never justifiable,Housewife,No,Female,,,Complete secondary school: university-preparatory type,,"US: Black, Non-Hispanic",2011
83162,2010-2013,United States,Rather important,Rather important,Not very happy,6,Strongly disagree,Agree,Married,No children,7,Not very much,Not much respect,Protestant,Not a religious person,Never justifiable,5,5,Full time,Yes,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83163,2010-2013,United States,Very important,Not very important,Rather happy,9,Strongly disagree,Disagree,Married,No children,9,Quite a lot,Not much respect,Protestant,Not a religious person,7,7,7,Retired,No,Male,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83164,2010-2013,United States,Very important,Not very important,Rather happy,8,Strongly disagree,Disagree,Married,2 children,4,Not very much,Fairly muchrespect,None,Not a religious person,7,8,9,Self employed,Yes,Male,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83165,2010-2013,United States,Very important,Not very important,Rather happy,7,Agree,Agree strongly,Single,No children,6,Not very much,Not much respect,Protestant,A religious person,6,6,8,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83166,2010-2013,United States,Very important,Rather important,Rather happy,9,Disagree,No answer,Married,4 children,8,Quite a lot,A great deal of respect for individual human rights,Protestant,A religious person,3,3,8,Full time,Yes,Male,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83167,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Strongly disagree,Agree strongly,Single,No children,Completely satisfied,Quite a lot,A great deal of respect for individual human rights,None,A religious person,8,9,8,Part time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83168,2010-2013,United States,Very important,Very important,Not very happy,2,Disagree,Disagree,Married,2 children,3,Not very much,Fairly muchrespect,None,A religious person,Always justifiable,5,5,Full time,Yes,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83169,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Agree strongly,Married,2 children,7,None at all,Not much respect,Other;Not specific,A religious person,5,3,6,Housewife,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83170,2010-2013,United States,Not very important,Not at all important,Not at all happy,2,Strongly disagree,Agree,Single,No children,Completely dissatisfied,None at all,Not much respect,None,An atheist,5,9,5,Part time,No,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83171,2010-2013,United States,Very important,Very important,Very happy,8,Strongly disagree,Agree,Married,2 children,2,Not very much,Not much respect,Protestant,A religious person,Always justifiable,2,4,Students,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83172,2010-2013,United States,Very important,Very important,Very happy,Completely satisfied,Strongly disagree,Agree strongly,Married,2 children,Completely satisfied,Quite a lot,Fairly muchrespect,Roman Catholic,A religious person,6,Never justifiable,4,Part time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83173,2010-2013,United States,Very important,Not very important,Very happy,6,Agree,Agree,Married,No children,7,Not very much,A great deal of respect for individual human rights,Muslim,A religious person,3,6,3,Unemployed,No,Female,,,"University-level education, with degree",,"US: Other, Non-Hispanic",2011
83174,2010-2013,United States,Very important,Rather important,Not very happy,4,Strongly disagree,Agree,Single,No children,3,A great deal,Fairly muchrespect,Buddhist,A religious person,8,5,9,Unemployed,No,Female,,,"Some university-level education, without degree",,"US: Other, Non-Hispanic",2011
83175,2010-2013,United States,Not very important,Very important,Rather happy,5,Disagree,Disagree,Married,1 child,8,Not very much,Fairly muchrespect,None,A religious person,5,5,5,Full time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83176,2010-2013,United States,Very important,Not very important,Rather happy,8,Agree,Agree,Married,2 children,9,Not very much,Not much respect,None,Not a religious person,5,5,5,Part time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83177,2010-2013,United States,Very important,Very important,Very happy,8,Disagree,Agree,Married,2 children,8,Not very much,Fairly muchrespect,Protestant,A religious person,4,4,6,Retired,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83178,2010-2013,United States,Very important,Not very important,Very happy,9,Strongly disagree,Disagree,Married,2 children,Completely satisfied,Not very much,Fairly muchrespect,Protestant,Not a religious person,Always justifiable,Always justifiable,6,Part time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83179,2010-2013,United States,Very important,Not at all important,Rather happy,8,Strongly disagree,Disagree,Divorced,2 children,4,Quite a lot,Not much respect,None,Not a religious person,Always justifiable,Always justifiable,Always justifiable,Retired,No,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83180,2010-2013,United States,Very important,Very important,Rather happy,9,Strongly disagree,Agree,Married,3 children,9,Not very much,Not much respect,Other;Not specific,A religious person,Never justifiable,3,3,Housewife,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83181,2010-2013,United States,Very important,Very important,Very happy,9,Strongly disagree,Agree strongly,Married,2 children,8,Not very much,Not much respect,Other;Not specific,A religious person,Never justifiable,3,3,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83182,2010-2013,United States,Very important,Very important,Rather happy,6,Disagree,Agree strongly,Married,No children,7,None at all,Not much respect,Protestant,A religious person,Never justifiable,Never justifiable,5,Full time,Yes,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83183,2010-2013,United States,Very important,Very important,Rather happy,7,Disagree,Disagree,Divorced,3 children,8,Quite a lot,Fairly muchrespect,Other;Not specific,A religious person,Never justifiable,Never justifiable,5,Retired,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83184,2010-2013,United States,Very important,Not very important,Rather happy,9,Strongly disagree,Agree,Single,No children,8,Not very much,Fairly muchrespect,Protestant,Not a religious person,Always justifiable,9,7,Part time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83185,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Agree strongly,Divorced,2 children,6,Not very much,Not much respect,Protestant,A religious person,5,6,9,Part time,Yes,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83186,2010-2013,United States,Very important,Rather important,Very happy,8,Strongly disagree,Disagree,Single,No children,Completely satisfied,Quite a lot,Fairly muchrespect,Other;Not specific,A religious person,8,6,5,Part time,No,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83187,2010-2013,United States,Very important,Very important,Rather happy,6,Strongly disagree,Disagree,Single,No children,Completely dissatisfied,Quite a lot,Not much respect,Jew,A religious person,Always justifiable,Always justifiable,Always justifiable,Students,Yes,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83188,2010-2013,United States,Very important,Rather important,Very happy,9,Strongly disagree,Agree,Married,3 children,8,Quite a lot,A great deal of respect for individual human rights,Protestant,A religious person,3,5,7,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83189,2010-2013,United States,Very important,Not at all important,Rather happy,9,Disagree,Agree,Married,2 children,8,Not very much,A great deal of respect for individual human rights,None,Not a religious person,5,5,5,Retired,No,Male,,,"University-level education, with degree",,"US: 2+Races, Non-Hispanic",2011
83190,2010-2013,United States,Rather important,Not at all important,Rather happy,5,Disagree,Disagree,Single,No children,4,Quite a lot,Not much respect,None,Not a religious person,5,5,5,Full time,No,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83191,2010-2013,United States,Very important,Rather important,Rather happy,7,Disagree,Agree,Single,No children,7,Not very much,Not much respect,Buddhist,A religious person,5,5,5,Part time,No,Male,,,"Some university-level education, without degree",,"US: Other, Non-Hispanic",2011
83192,2010-2013,United States,Very important,Very important,Very happy,9,Strongly disagree,Agree,Married,No children,9,Quite a lot,Not much respect,Protestant,A religious person,Never justifiable,Never justifiable,5,Full time,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83193,2010-2013,United States,Very important,Rather important,Rather happy,8,Strongly disagree,Agree strongly,Married,2 children,6,Quite a lot,Not much respect,Roman Catholic,A religious person,8,Never justifiable,Always justifiable,Retired,No,Male,,,Incomplete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83194,2010-2013,United States,Rather important,Not at all important,Rather happy,8,Disagree,Disagree,Married,2 children,8,Quite a lot,No respect at all,None,A religious person,5,5,7,Part time,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83195,2010-2013,United States,Very important,Not very important,Rather happy,9,Strongly disagree,Agree,Divorced,3 children,7,Quite a lot,Not much respect,Protestant,A religious person,Always justifiable,Always justifiable,Always justifiable,Retired,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83196,2010-2013,United States,Very important,Not very important,Rather happy,6,Disagree,Agree,Divorced,No children,7,Not very much,Fairly muchrespect,None,A religious person,Always justifiable,9,9,Full time,No,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83197,2010-2013,United States,Rather important,Not very important,Very happy,8,Disagree,Agree,Married,2 children,9,Quite a lot,Fairly muchrespect,Protestant,Not a religious person,Always justifiable,8,8,Retired,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83198,2010-2013,United States,Very important,Very important,Very happy,8,Strongly disagree,Agree strongly,Married,4 children,5,Quite a lot,Fairly muchrespect,Other;Not specific,A religious person,Never justifiable,2,6,Full time,Yes,Female,,,"University-level education, with degree",,"US: Black, Non-Hispanic",2011
83199,2010-2013,United States,Very important,Very important,Not very happy,6,Disagree,Agree,Divorced,3 children,6,Not very much,Not much respect,Other;Not specific,A religious person,6,8,8,Retired,Yes,Female,,,"Some university-level education, without degree",,"US: Black, Non-Hispanic",2011
83200,2010-2013,United States,Very important,Very important,Very happy,8,Strongly disagree,Agree,Married,No children,6,Quite a lot,Fairly muchrespect,Protestant,A religious person,7,Never justifiable,5,Students,No,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83201,2010-2013,United States,Very important,Not very important,Not very happy,3,Disagree,Agree strongly,Widowed,2 children,7,Not very much,Fairly muchrespect,Protestant,Not a religious person,5,Never justifiable,3,Retired,Yes,Male,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83202,2010-2013,United States,Very important,Rather important,Very happy,8,Disagree,Agree strongly,Single,No children,7,Quite a lot,Fairly muchrespect,None,A religious person,5,5,5,Other,Yes,Female,,,"Some university-level education, without degree",,"US: White, Non-Hispanic",2011
83203,2010-2013,United States,Very important,Rather important,Rather happy,7,Strongly disagree,Agree,Married,2 children,8,Quite a lot,Fairly muchrespect,Jew,Not a religious person,9,6,7,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83204,2010-2013,United States,Very important,No answer,Rather happy,5,Strongly disagree,Agree strongly,Married,1 child,9,Quite a lot,Not much respect,Other;Not specific,A religious person,Never justifiable,Never justifiable,5,Retired,No,Female,,,Incomplete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83205,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Agree strongly,Married,4 children,8,Not very much,Fairly muchrespect,Roman Catholic,A religious person,5,2,3,Self employed,No,Male,,,"University-level education, with degree",,"US: Other, Non-Hispanic",2011
83206,2010-2013,United States,Very important,Rather important,Very happy,9,Disagree,Agree,Married,2 children,8,Quite a lot,Fairly muchrespect,None,A religious person,7,7,8,Retired,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83207,2010-2013,United States,Very important,Rather important,Rather happy,8,Disagree,Disagree,Single,No children,5,No answer,Not much respect,Protestant,A religious person,No answer,No answer,No answer,Other,No answer,Male,,,Complete secondary school: university-preparatory type,,"US: 2+Races, Non-Hispanic",2011
83208,2010-2013,United States,Very important,Rather important,Rather happy,7,Disagree,Agree,Single,No children,6,Quite a lot,Fairly muchrespect,Protestant,A religious person,Never justifiable,2,Never justifiable,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83209,2010-2013,United States,Very important,Very important,Rather happy,8,Strongly disagree,Agree strongly,Widowed,4 children,9,Not very much,Fairly muchrespect,Protestant,A religious person,9,2,5,Retired,No,Female,,,Complete secondary school: university-preparatory type,,"US: 2+Races, Non-Hispanic",2011
83210,2010-2013,United States,Very important,Rather important,Rather happy,8,Disagree,Disagree,Married,3 children,7,Quite a lot,Fairly muchrespect,Protestant,Not a religious person,6,6,6,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83211,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Disagree,Married,2 children,9,Not very much,A great deal of respect for individual human rights,Protestant,A religious person,3,2,3,Retired,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83212,2010-2013,United States,Very important,Very important,Rather happy,7,Strongly disagree,Agree,Living together as married,2 children,5,Not very much,Not much respect,Other;Not specific,A religious person,Always justifiable,5,8,Housewife,No,Female,,,"Some university-level education, without degree",,"US: Black, Non-Hispanic",2011
83213,2010-2013,United States,Very important,Not at all important,Very happy,8,Disagree,Agree,Married,1 child,9,Quite a lot,Fairly muchrespect,None,Not a religious person,Always justifiable,5,Always justifiable,Unemployed,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83214,2010-2013,United States,Very important,Not at all important,Very happy,7,Strongly disagree,Disagree,Divorced,3 children,8,A great deal,Not much respect,None,An atheist,Always justifiable,Always justifiable,Always justifiable,Part time,Yes,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83215,2010-2013,United States,Very important,Not very important,Rather happy,4,Disagree,Disagree,Single,No children,Completely dissatisfied,Quite a lot,Not much respect,None,Not a religious person,Always justifiable,Always justifiable,Always justifiable,Self employed,Yes,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83216,2010-2013,United States,Very important,Not very important,Rather happy,8,Disagree,Agree,Married,3 children,8,A great deal,Fairly muchrespect,Roman Catholic,A religious person,5,8,5,Housewife,No,Female,,,Complete secondary school: university-preparatory type,,"US: White, Non-Hispanic",2011
83217,2010-2013,United States,Very important,Very important,Rather happy,8,Disagree,Agree strongly,Married,3 children,5,Not very much,A great deal of respect for individual human rights,Roman Catholic,A religious person,Never justifiable,Never justifiable,4,Retired,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83218,2010-2013,United States,Very important,Not at all important,Very happy,8,Strongly disagree,Agree,Married,No children,8,Not very much,Not much respect,None,Not a religious person,4,6,7,Full time,No,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83219,2010-2013,United States,Very important,Not at all important,Rather happy,7,Disagree,Agree,Living together as married,No children,7,Not very much,Fairly muchrespect,None,An atheist,7,7,7,Housewife,No,Female,,,"University-level education, with degree",,"US: Other, Non-Hispanic",2011
83220,2010-2013,United States,Very important,Very important,Very happy,8,Strongly disagree,Strongly disagree,Single,No children,5,Quite a lot,Not much respect,None,A religious person,Never justifiable,Never justifiable,Never justifiable,Students,No,Male,,,Incomplete secondary school: university-preparatory type,,"US: Black, Non-Hispanic",2011
83221,2010-2013,United States,Very important,Very important,Rather happy,8,Strongly disagree,Agree,Married,No children,7,Quite a lot,Fairly muchrespect,Other;Not specific,A religious person,Never justifiable,5,5,Full time,Yes,Female,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83222,2010-2013,United States,Rather important,Not at all important,Rather happy,6,Strongly disagree,Agree strongly,Single,No children,4,Quite a lot,Fairly muchrespect,None,Not a religious person,5,5,5,Full time,Yes,Male,,,"University-level education, with degree",,"US: White, Non-Hispanic",2011
83223,2010-2013,United States,Very important,Very important,Very happy,9,Disagree,Disagree,Widowed,3 children,9,Quite a lot,Fairly muchrespect,Orthodox,A religious person,Always justifiable,Always justifiable,Always justifiable,Retired,Yes,Female,,,"Some university-level education, without degree",,"US: 2+Races, Non-Hispanic",2011
